Country;Region;Happiness Rank;Score;GPD;Family;Health;Freedom;Government Corruption;Generosity;Dystopia Residual
Denmark;Western Europe;1;7.526;144.178;116.374;0.79504;0.57941;0.44453;0.36171;273.939
Switzerland;Western Europe;2;7.509;152.733;114.524;0.86303;0.58557;0.41203;0.28083;269.463
Iceland;Western Europe;3;7.501;142.666;118.326;0.86733;0.56624;0.14975;0.47678;283.137
Norway;Western Europe;4;7.498;157.744;11.269;0.79579;0.59609;0.35776;0.37895;266.465
Finland;Western Europe;5;7.413;140.598;113.464;0.81091;0.57104;0.41004;0.25492;282.596
Canada;North America;6;7.404;144.015;10.961;0.8276;0.5737;0.31329;0.44834;270.485
Netherlands;Western Europe;7;7.339;146.468;102.912;0.81231;0.55211;0.29927;0.47416;270.749
New Zealand;Australia and New Zealand;8;7.334;136.066;117.278;0.83096;0.58147;0.41904;0.49401;247.553
Australia;Australia and New Zealand;9;7.313;144.443;110.476;0.8512;0.56837;0.32331;0.47407;25.465
Sweden;Western Europe;10;7.291;145.181;108.764;0.83121;0.58218;0.40867;0.38254;254.734
Israel;Middle East and Northern Africa;11;7.267;133.766;0.99537;0.84917;0.36432;0.08728;0.32288;331.029
Austria;Western Europe;12;7.119;145.038;108.383;0.80565;0.54355;0.21348;0.32865;269.343
United States;North America;13;7.104;150.796;104.782;0.779;0.48163;0.14868;0.41077;272.782
Costa Rica;Latin America and Caribbean;14;7.087;106.879;102.152;0.76146;0.55225;0.10547;0.22553;335.168
Puerto Rico;Latin America and Caribbean;15;7.039;135.943;108.113;0.77758;0.46823;0.12275;0.22202;30.076
Germany;Western Europe;16;6.994;144.787;109.774;0.81487;0.53466;0.28551;0.30452;250.931
Brazil;Latin America and Caribbean;17;6.952;108.754;103.938;0.61415;0.40425;0.14166;0.15776;350.733
Belgium;Western Europe;18;6.929;142.539;105.249;0.81959;0.51354;0.26248;0.2424;261.355
Ireland;Western Europe;19;6.907;148.341;116.157;0.81455;0.54008;0.29754;0.44963;215.988
Luxembourg;Western Europe;20;6.871;169.752;103.999;0.84542;0.5487;0.35329;0.27571;211.055
Mexico;Latin America and Caribbean;21;6.778;111.508;0.7146;0.71143;0.37709;0.18355;0.11735;355.906
Singapore;Southeastern Asia;22;6.739;164.555;0.86758;0.94719;0.4877;0.46987;0.32706;199.375
United Kingdom;Western Europe;23;6.725;140.283;108.672;0.80991;0.50036;0.27399;0.50156;214.999
Chile;Latin America and Caribbean;24;6.705;12.167;0.90587;0.81883;0.37789;0.11451;0.31595;295.505
Panama;Latin America and Caribbean;25;6.701;118.306;0.98912;0.70835;0.48927;0.08423;0.2418;300.559
Argentina;Latin America and Caribbean;26;iyn.65;115.137;106.612;0.69711;0.42284;0.07296;0.10989;312.985
Czech Republic;Central and Eastern Europe;27;6.596;130.915;100.793;0.76376;0.41418;0.03986;0.09929;296.211
United Arab Emirates;Middle East and Northern Africa;28;6.573;157.352;0.87114;0.72993;0.56215;0.35561;0.26591;221.507
Uruguay;Latin America and Caribbean;29;6.545;118.157;103.143;0.72183;0.54388;0.21394;0.18056;267.139
Malta;Western Europe;30;6.488;130.782;109.879;0.80315;0.54994;0.17554;0.56237;199.032
Colombia;Latin America and Caribbean;31;6.481;103.032;102.169;0.59659;0.44735;0.05399;0.15626;317.471
France;Western Europe;32;6.478;139.488;100.508;0.83795;0.46562;0.17808;0.1216;24.744
Thailand;Southeastern Asia;33;6.474;10.893;104.477;0.64915;0.49553;0.02833;0.58696;25.796
Saudi Arabia;Middle East and Northern Africa;34;6.379;148.953;0.84829;0.59267;0.37904;0.30008;0.15457;261.482
Taiwan;Eastern Asia;34;6.379;139.729;0.92624;0.79565;0.32377;0.0663;0.25495;261.523
Qatar;Middle East and Northern Africa;36;6.375;182.427;0.87964;0.71723;0.56679;0.48049;0.32388;158.224
Spain;Western Europe;37;6.361;134.253;112.945;0.87896;0.37545;0.06137;0.17665;239.663
Algeria;Middle East and Northern Africa;38;6.355;105.266;0.83309;0.61804;0.21006;0.16157;0.07044;340.904
Guatemala;Latin America and Caribbean;39;6.324;0.83454;0.87119;0.54039;0.50379;0.08701;0.28808;319.863
Suriname;Latin America and Caribbean;40;6.269;109.686;0.77866;0.50933;0.52234;0.12692;0.16665;306.852
Kuwait;Middle East and Northern Africa;41;6.239;161.714;0.87758;0.63569;0.43166;0.23669;0.15965;228.085
Bahrain;Middle East and Northern Africa;42;6.218;144.024;0.94397;0.65696;0.47375;0.25772;0.17147;227.405
Trinidad and Tobago;Latin America and Caribbean;43;6.168;132.572;0.98569;0.52608;0.48453;0.01241;0.31935;251.394
Venezuela;Latin America and Caribbean;44;6.084;113.367;103.302;0.61904;0.19847;0.08304;0.0425;297.468
Slovakia;Central and Eastern Europe;45;6.078;127.973;108.268;0.70367;0.23391;0.02947;0.13837;261.065
El Salvador;Latin America and Caribbean;46;6.068;0.8737;0.80975;0.596;0.37269;0.10613;0.08877;322.134
Malaysia;Southeastern Asia;47;6.005;125.142;0.88025;0.62366;0.39031;0.09081;0.41474;235.384
Nicaragua;Latin America and Caribbean;48;5.992;0.69384;0.89521;0.65213;0.46582;0.16292;0.29773;282.428
Uzbekistan;Central and Eastern Europe;49;5.987;0.73591;11.681;0.50163;0.60848;0.28333;0.34326;234.638
Italy;Western Europe;50;5.977;135.495;104.167;0.85102;0.18827;0.02556;0.16684;234.918
Ecuador;Latin America and Caribbean;51;5.976;0.97306;0.85974;0.68613;0.4027;0.18037;0.10074;277.366
Belize;Latin America and Caribbean;52;5.956;0.87616;0.68655;0.45569;0.51231;0.10771;0.23684;308.039
Japan;Eastern Asia;53;5.921;138.007;106.054;0.91491;0.46761;0.18985;0.10224;180.584
Kazakhstan;Central and Eastern Europe;54;5.919;122.943;0.95544;0.57386;0.4052;0.11132;0.15011;249.325
Moldova;Central and Eastern Europe;55;5.897;0.69177;0.83132;0.52309;0.25202;0.01903;0.19997;338.007
Russia;Central and Eastern Europe;56;5.856;123.228;105.261;0.58991;0.32682;0.03586;0.02736;259.115
Poland;Central and Eastern Europe;57;5.835;124.585;104.685;0.69058;0.4519;0.055;0.14443;220.035
South Korea;Eastern Asia;57;5.835;135.948;0.72194;0.88645;0.25168;0.07716;0.18824;235.015
Bolivia;Latin America and Caribbean;59;5.822;0.79422;0.83779;0.4697;0.50961;0.07746;0.21698;291.635
Lithuania;Central and Eastern Europe;60;5.813;12.692;106.411;0.64674;0.18929;0.0182;0.02025;260.525
Belarus;Central and Eastern Europe;61;5.802;113.062;104.993;0.63104;0.29091;0.17457;0.13942;238.582
North Cyprus;Western Europe;62;5.771;131.141;0.81826;0.84142;0.43596;0.16578;0.26322;193.447
Slovenia;Central and Eastern Europe;63;5.768;129.947;105.613;0.79151;0.53164;0.03635;0.25738;179.522
Peru;Latin America and Caribbean;64;5.743;0.99602;0.81255;0.62994;0.37502;0.05292;0.14527;273.117
Turkmenistan;Central and Eastern Europe;65;5.658;108.017;103.817;0.44006;0.37408;0.28467;0.22567;221.489
Mauritius;Sub-Saharan Africa;66;5.648;114.372;0.75695;0.66189;0.46145;0.05203;0.36951;220.223
Libya;Middle East and Northern Africa;67;5.615;106.688;0.95076;0.52304;0.40672;0.10339;0.17087;239.374
Latvia;Central and Eastern Europe;68;may.56;121.788;0.95025;0.63952;0.27996;0.0889;0.17445;220.859
Cyprus;Western Europe;69;5.546;131.857;0.70697;0.8488;0.29507;0.05228;0.27906;204.497
Paraguay;Latin America and Caribbean;70;5.538;0.89373;111.111;0.58295;0.46235;0.07396;0.25296;216.091
Romania;Central and Eastern Europe;71;5.528;11.697;0.72803;0.67602;0.36712;0.00679;0.12889;245.184
Estonia;Central and Eastern Europe;72;5.517;127.964;105.163;0.68098;0.41511;0.18519;0.08423;181.985
Jamaica;Latin America and Caribbean;73;may.51;0.89333;0.96372;0.59469;0.43597;0.04294;0.22245;235.682
Croatia;Central and Eastern Europe;74;5.488;118.649;0.60809;0.70524;0.23907;0.04002;0.18434;252.462
Hong Kong;Eastern Asia;75;5.458;15.107;0.87021;0.95277;0.48079;0.31647;0.40097;0.92614
Somalia;Sub-Saharan Africa;76;may.44;0;0.33613;0.11466;0.56778;0.3118;0.27225;383.772
Kosovo;Central and Eastern Europe;77;5.401;0.90145;0.66062;0.54;0.14396;0.06547;0.27992;280.998
Turkey;Middle East and Northern Africa;78;5.389;116.492;0.87717;0.64718;0.23889;0.12348;0.04707;229.074
Indonesia;Southeastern Asia;79;5.314;0.95104;0.87625;0.49374;0.39237;0.00322;0.56521;203.171
Jordan;Middle East and Northern Africa;80;5.303;0.99673;0.86216;0.60712;0.36023;0.13297;0.14262;220.142
Azerbaijan;Central and Eastern Europe;81;5.291;112.373;0.76042;0.54504;0.35327;0.17914;0.0564;22.735
Philippines;Southeastern Asia;82;5.279;0.81217;0.87877;0.47036;0.54854;0.11757;0.21674;223.484
China;Eastern Asia;83;5.245;10.278;0.79381;0.73561;0.44012;0.02745;0.04959;217.087
Bhutan;Southern Asia;84;5.196;0.8527;0.90836;0.49759;0.46074;0.1616;0.48546;182.916
Kyrgyzstan;Central and Eastern Europe;85;5.185;0.56044;0.95434;0.55449;0.40212;0.04762;0.38432;228.136
Serbia;Central and Eastern Europe;86;5.177;103.437;0.81329;0.6458;0.15718;0.04339;0.20737;227.539
Bosnia and Herzegovina;Central and Eastern Europe;87;5.163;0.93383;0.64367;0.70766;0.09511;0;0.29889;248.406
Montenegro;Central and Eastern Europe;88;5.161;107.838;0.74173;0.63533;0.15111;0.12721;0.17191;225.531
Dominican Republic;Latin America and Caribbean;89;5.155;102.787;0.99496;0.57669;0.52259;0.12372;0.21286;169.626
Morocco;Middle East and Northern Africa;90;5.151;0.84058;0.38595;0.59471;0.25646;0.08404;0.04053;294.891
Hungary;Central and Eastern Europe;91;5.145;124.142;0.93164;0.67608;0.1977;0.04472;0.099;195.473
Pakistan;Southern Asia;92;5.132;0.68816;0.26135;0.40306;0.14622;0.1388;0.31185;318.286
Lebanon;Middle East and Northern Africa;93;5.129;112.268;0.64184;0.76171;0.26228;0.03061;0.23693;207.339
Portugal;Western Europe;94;5.123;127.607;0.94367;0.79363;0.44727;0.01521;0.11691;153.015
Macedonia;Central and Eastern Europe;95;5.121;10.193;0.78236;0.64738;0.27668;0.07047;0.23507;208.947
Vietnam;Southeastern Asia;96;5.061;0.74037;0.79117;0.66157;0.55954;0.11556;0.25075;19.418
Somaliland Region;Sub-Saharan Africa;97;5.057;0.25558;0.75862;0.33108;0.3913;0.36794;0.51479;243.801
Tunisia;Middle East and Northern Africa;98;5.045;0.97724;0.43165;0.59577;0.23553;0.0817;0.03936;268.413
Greece;Western Europe;99;5.033;124.886;0.75473;0.80029;0.05822;0.04127;0;212.944
Tajikistan;Central and Eastern Europe;100;4.996;0.48835;0.75602;0.53119;0.43408;0.13509;0.25998;239.106
Mongolia;Eastern Asia;101;4.907;0.98853;108.983;0.55469;0.35972;0.03285;0.34539;153.586
